date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:19	310/310	---MCZ	200	added ('OK')	text/plain	etag:W/%22219-riFaxFRrgCivuHrx3Q/CwHhBi3I%22	https://www.judginginsanity.net/robots.txt		(from )
12:06:20	728486/728486	---MCZ	200	added ('OK')	text/html	etag:W/%22bf534cb95297214a10fcb5882c347570%22	https://www.judginginsanity.net/	C:/My%20Web%20Sites/Judging%20Insanity/www.judginginsanity.net/index.html	(from )
12:06:20	14305/14305	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Aug%202024%2017:06:18%20GMT	https://static.wixstatic.com/media/f6aa39_b2f95cbf62a54221bde85a45b6e2059b~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/f6aa39_b2f95cbf62a54221bde85a45b6e2059b~mv2.jpg	C:/My%20Web%20Sites/Judging%20Insanity/static.wixstatic.com/media/f6aa39_b2f95cbf62a54221bde85a45b6e2059b_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/f6aa39_b2f95cbf62a54221bde85a45b6e2059b_mv2.jpg	(from https://www.judginginsanity.net/)
12:06:20	1563/1563	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Aug%202024%2017:06:19%20GMT	https://static.wixstatic.com/media/f6aa39_b2f95cbf62a54221bde85a45b6e2059b~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/f6aa39_b2f95cbf62a54221bde85a45b6e2059b~mv2.jpg	C:/My%20Web%20Sites/Judging%20Insanity/static.wixstatic.com/media/f6aa39_b2f95cbf62a54221bde85a45b6e2059b_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/f6aa39_b2f95cbf62a54221bde85a45b6e2059b_mv2.jpg	(from https://www.judginginsanity.net/)
12:06:20	13233/13233	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Aug%202024%2017:06:19%20GMT	https://static.wixstatic.com/media/f6aa39_b2f95cbf62a54221bde85a45b6e2059b~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/f6aa39_b2f95cbf62a54221bde85a45b6e2059b~mv2.jpg	C:/My%20Web%20Sites/Judging%20Insanity/static.wixstatic.com/media/f6aa39_b2f95cbf62a54221bde85a45b6e2059b_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/f6aa39_b2f95cbf62a54221bde85a45b6e2059b_mv2.jpg	(from https://www.judginginsanity.net/)
12:06:21	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.judginginsanity.net/)
12:06:21	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.judginginsanity.net/)
12:06:21	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2015%20Aug%202024%2017:06:20%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/Judging%20Insanity/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.judginginsanity.net/)
12:06:22	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:06:20%20GMT	https://www.judginginsanity.net/c	C:/My%20Web%20Sites/Judging%20Insanity/www.judginginsanity.net/c.6.delayed	(from https://www.judginginsanity.net/)
12:06:22	2960/2960	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Aug%202024%2017:06:20%20GMT	https://www.judginginsanity.net/t	C:/My%20Web%20Sites/Judging%20Insanity/www.judginginsanity.net/t.7.delayed	(from https://www.judginginsanity.net/)
12:06:23	158829/158829	---MCZ	200	added ('OK')	text/xml	date:Thu,%2015%20Aug%202024%2017:06:21%20GMT	https://www.judginginsanity.net/blog-feed.xml	C:/My%20Web%20Sites/Judging%20Insanity/www.judginginsanity.net/blog-feed.xml	(from https://www.judginginsanity.net/)
12:06:23	25753/25753	---M-Z	200	added ('OK')	application/javascript	etag:W/%220f85df3d909cf91da248d3878fb00868%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/9143.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/9143.chunk.min.js	(from https://www.judginginsanity.net/)
12:06:23	288198/288198	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e166f054e5c83ce56a3c465eeb839db3%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/6910.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/6910.chunk.min.js	(from https://www.judginginsanity.net/)
12:06:23	33013/33013	---M-Z	200	added ('OK')	application/javascript	etag:W/%221fce4f115fdb1db1527ff73046b633c9%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/post-list-pro-gallery.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/post-list-pro-gallery.chunk.min.js	(from https://www.judginginsanity.net/)
12:06:26	939358/939358	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Aug%202024%2017:06:24%20GMT	https://www.judginginsanity.net/cart-page	C:/My%20Web%20Sites/Judging%20Insanity/www.judginginsanity.net/cart-page.html	(from https://www.judginginsanity.net/)
12:06:26	1592585/1592585	---MCZ	200	added ('OK')	text/html	etag:W/%221b2c8855b8fe4c730ee554ad7099eb5c%22	https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd	C:/My%20Web%20Sites/Judging%20Insanity/www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd.html	(from https://www.judginginsanity.net/)
12:06:29	1855236/1855236	---MCZ	200	added ('OK')	text/html	etag:W/%22f3c7dbd8eb404b36e42fd7ced6dc90e9%22	https://www.judginginsanity.net/post/crackingtheacorn	C:/My%20Web%20Sites/Judging%20Insanity/www.judginginsanity.net/post/crackingtheacorn.html	(from https://www.judginginsanity.net/)
12:06:38	13058/13058	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e6ece50a06ff14195382d8e6b5acc9b5%22	https://static.parastorage.com/services/wix-thunderbolt/dist/webpack-runtime.c5394464.bundle.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/wix-thunderbolt/dist/webpack-runtime.c5394464.bundle.min.js	(from https://www.judginginsanity.net/)
12:06:38	1524459/1524459	---MCZ	200	added ('OK')	text/html	etag:W/%22cde36b8e4b3653119f99322a76608709%22	https://www.judginginsanity.net/post/new-kids-on-the-block	C:/My%20Web%20Sites/Judging%20Insanity/www.judginginsanity.net/post/new-kids-on-the-block.html	(from https://www.judginginsanity.net/)
12:06:38	490/490	---MCZ	200	added ('OK')	text/xml	etag:W/%221ea-FqKvxPnpalIMPKvBFIUFrS40W+c%22	https://www.judginginsanity.net/sitemap.xml	C:/My%20Web%20Sites/Judging%20Insanity/www.judginginsanity.net/sitemap.xml	(from https://www.judginginsanity.net/)
